id;reporting_date;customer_id;account_contract_number;accrued_interest_balance_fcy;accrued_interest_balance_lcy;account_balance_fcy;account_balance_lcy;bank_code_id;branch_id_id;currency_code_id
1;2023-10-03;Supervisor parse;"160322464239697";73502;84285;82877;91242;1;1;1
2;2023-10-03;payment open Horizontal;"287782007434251";96346;91753;62009;22152;2;2;2
3;2023-10-03;Canada Operations;"025679639899353";33165;76008;37116;22334;3;3;3
4;2023-10-03;Planner;"945176762909040";51284;26777;56057;61770;4;4;4
5;2023-10-03;Rial;"971883871668639";84272;54213;14596;54909;5;5;5
6;2023-10-03;Account;"847159074409643";38462;54766;45157;53138;6;6;6
7;2023-10-03;navigate Sleek parsing;"161928617656000";48649;8338;9654;27861;7;7;7
8;2023-10-04;blockchains intuitive complexity;"672393093507386";63015;54259;54580;62448;8;8;8
9;2023-10-03;product Home;"462799112746241";76837;68623;32662;86432;9;9;9
10;2023-10-04;circuit;"920684480620814";57565;22269;44960;2401;10;10;10
